per,ncli,nd,mttr,nticket
7,da36d0c6d95bc60a1650ec8bdd27926e,c19c468b9cd1ce11e0020023d8384fee,1.73,1
7,801c1a9e1d7ba6a16611940944fac6d8,8b82dae249f9460bdcbce1a72c23633e,1.53,1
2,8919c22cf070d1d4ffad1ce18abbbe19,47ac0bae643ce7dcc087b791bcd7f82b,0.33,1
4,1a64714fdaee6adfdd9aaf37e2a165ca,5878f9d2deecf9c5eedbae9d14b937d4,1.17,1
7,ba60bf9940e7a26800ef04767f529538,6a10fd540da7bc916b80bcbc140ac8c4,3.015,2
3,843ac3edc938b24bce3e29ea804b6fd7,33913f0def7a63daf8a4853c49e12b5d,1.53,1
4,5e5e37accff1cddfacef23f733a76d11,da6540b20fb920f716f8edfb90b1bfed,0.315,2
6,69ce6d824b8837a6ec5c6a48f9df5553,82fca913242afa332d0d98ecd91f4fa1,3.18,1
5,f9441d951cd3a7a26a2aeff37d314ef9,8b0428cb4bbfbe798c11f2530c419818,18.43,1
2,b242f99ae7b30ad93d053b1a4c12b6b5,ecead571b980a876517fb8abe8028745,5.03,1
4,eae5050051d42932d0711393e45b83c4,28ecac485c6ae6b31ae4cf6e7f3e22a9,0.0,1
5,3739f81b236a134fd8837f9235af662a,77ef4733d8f40362968c775bf233a789,23.93,1
2,3dd1134ad2033d4dfa4923cf46e663c1,eec073cbb1dec188d6e18a92dd2db8e6,25.39,1
6,709dfd1c855bfa570a8d0b306695b52c,4699008fb93d468d42f33b4996da6d15,0.07,1
7,219be4a2f44642d47c31a5c6254c23a1,87c9a47c5cfa6ed823bb938d43a52e49,0.57,1
4,12e4a3cbf0c2a4335efc030651c7fd34,1279e7b62c777f8aa6f9da4c986a357c,20.86,3
5,0248b9ea583d37b3d1aa844d5a7147d9,ef7f49a54cb809c84b2979b1e207f487,2.83,1
3,28409b49e9ef62e2a1f0985f5d85acbd,a5d740d8bd350f1fcdbccc84fc32fdc5,5.18,1
7,be8c683e9a34a79bf0a8a9eb5db45226,85923adb9149067918e8118c07373ca5,13.94,1
6,95ab9b5ccaa0d36e75de053a12b04d91,baf53933699a408fc6fe635a3e57207c,16.3,1
5,8063f680612740d2ed02d787db41fe1a,2a3a168ae2bd0ecb23b58f9b794d7806,1.43,1
2,fa9ef97f7c877faa55967c4d530e738b,fde34423dc74538c7aa6a966132f1108,0.02,1
4,ec04ad53e3744e9ed05b8591f9bac7d9,ad6ec5805958094e9360874a1663e02d,3.09,1
2,d31aeab14510e76236d22e7b6c5ef27f,0170fef60ce3df7364817eacdc5693dc,0.0,1
5,708728050d84ba6f17085ea6cc9d20e7,c3932fa3a4fd746c33b7b058cb7d0891,54.87,1
7,8dc5e3d7800320cc4fc3e1ff07999224,27cba9e4aaecd27019173f172ed4fce7,2.28,1
5,12d62657d5d34b724bce5268e9b53b25,6b190cfeb2eb7f4f2ccc2d291dcdd601,5.72,1
3,aeb6cd86fb05257d7bb623e64f5b8313,8a44957a7f6e86bca851611d648ef1ca,15.33,1
3,edbba03a07c5249400a87116b6c0caa7,6b5b58eab43c7c870653ba3be4f6f74d,1.525,2
5,950a58a2b4ddc9d68f5b4e70d52890b8,526b647e59f81ca2136b663397bd9a8e,24.5,2
7,2adb907c9913496eef74f43ca1c3ed87,d63731bdd8e31e7cce5dee1842031f89,1.75,1
4,ea12895266cde940dc3cc4693422d7bf,c278327db7c5f7f558a4331338f65714,11.8,1
4,e4fab9a29eaa645188945ea6792f80de,84270fdea322c545e915f54b5b450e41,1.84,1
2,645b0c4884e2d99c1c403060e0a00af1,7f1a1215e1265c095fd336888e7807c7,0.0,1
2,4ea800d6cf723a8f3b3fc66a08bceecd,b20f6137338397d6f5432bea3c478ab6,0.0,1
2,d7137f7701b3a100addf9b28091f682c,116ed461acc4a43c632a5e0492033a72,0.0,1
5,7ec03e0240c8ec8f5acca8d1c527c30c,6ab2f28c7f50fe4477408c7201ae77b0,19.75,1
3,445256ccb2b8b4ca67f1bf3b6c8d5f0b,91e09e54f54b03596b374f27ec89172a,1.72,1
6,bf9e86b48a532a9ad8e516ac78382b9e,455e09e160519c4baa9d53511ac1ff81,0.33,1
3,033913cee1ff7ea20ff3349767887760,95b3e51e8559c90f6eaf4a9473a09c67,17.79,1
7,791ceea5fa0f083e907a8e2118044780,9c78a6bc7d43908abf9423ee034868b5,0.35,1
4,bb0190c5f1030d02b8822e385feca093,f52ab411f0e60abf0709c86c783e62ca,5.01,1
5,c427f75666103f45fc0162d44b942655,08b3193be70fbf47c97ad47f2b196d2d,31.075,2
6,76d5d4f6d48253d856c1f212f3b335b8,45b8fac6df7453f7619b84a6f7316fc2,7.37,1
4,4e3212cbd7c448e7a93091e23090c699,61e3ee6d2068810e53a0bd417940f8df,0.0,1
4,e0a687866e53c90a98b9f6b02e91bfdd,2fb3888a6b6a5442624be8f4167a3f7f,4.3,1
4,4092ba6c992e1033d43132582668f147,2a81c9f91cecd7d67a49800fa49d03b7,0.0,1
4,5fdc041d84ec4d48398665b19b65769a,17a317c22dfc329e89b94aa7d8fed3ad,1.935,2
3,bf7c71c0c849298ea184821f73c6d9ff,cb7732fb7bca7dce038ec6c5e63b28a1,2.15,1
3,30eb642b43017cee04f66c969d587537,f763e7ff47a84352f37d3b5c38a4c1c5,7.105,2
4,3d7c3a3e1ca7e9cdd84c0a8132c60ec9,2d6c2b3dbe3c41f4110b1cc64b4a2241,3.79,1
6,5283d4f77a31bd4098f229a0427faa79,ceb9ab9b3fabda65cf941f6ee162fb73,6.35,1
3,8062bd253b363ec945d5a46b2809903a,8d66b7a611baae6e904939a04c312b26,23.1,1
5,f192e635344e99cf9d233841881897a7,9dae8420a55971bab5d4687d45bca47e,2.28,1
4,7feb6b9656ad0ad401b652edc0098b77,ab8929005e111e7fe8d5b5c5f650fc50,0.0,1
3,745fa1b920c576880e64599f48a598ed,fecf71a83570dbc7d6a6325f4440ba66,0.0,1
2,cfe759d07acb5b4cbfbaee6da1e11dda,191d2c66974a96f3ff1d6a77f2728083,0.0,1
3,7502c9d5c8f9f08feebbcbad030a7fa8,1134d7549d8fe21cd6aee154dc7e77c4,3.65,2
7,661b9c25c73a9befb9472713f808235b,8156788a5ecb2dd434c9ab5c864c378e,3.85,1
4,9ddc4b1c5703d774f9341ac8fc31d5f6,ec5618240e96437fc6a47c01be70a353,135.0,1
5,9a40a0e8b10e95864995856cb85a6f3b,fb2cb5bb657d1496564ea5f720fe12f6,2.38,1
4,e5979135c512a521a54704cd4f052ad1,9cd5cf86ae6f9d532955be0bde4fc842,4.2,2
2,44d2e99daae06d4cf02973e2910fc8fb,545ac8d267922ed8c1e3ebfebe345a5d,5.35,1
6,635ceec2f6290d92c63ecf6f3a18bdba,da6e91c3d7391c24e1da7f86331d84fc,2.75,1
6,6140f908793da65a23dc7b8f2b40a09c,11cdb3aa70957e54e3d01dc8e3cb09d0,0.92,1
5,468a6dc0086889bac56e71ed2041f668,7e7e15f6fe1725db7cc3197ba84c2d6d,19.09,1
3,8fd8683bbcc5fd67dcaee00319dace67,8e16e6ca17f6f7738d855b20d884152e,2.865,2
5,816a6b8c69506fb81ae8930015abfd5d,d50a118676e443931d2cb56ff1d227e2,0.32,1
4,87cb0a0637444c5e70b66ff7fd96af9f,8a999910982897cbaa99d399707bee9b,8.1,2
6,50202cf355be50568cdc132eb552db68,215bdcdbd74345d7e74e2c13c42ef576,2.93,1
3,dda4b4f38aae99222e1c91cdaf3d0b52,4a0dbd916f7ea6ebc0a4c09233e8ee79,0.0,1
4,f9a988b2bc6b4cd078f87bb5482ec1aa,ef2052becc632fef5017637b56e550b8,17.955,2
4,ae9eb66c6ac16cd41e17f71c21e8c3f7,bb86da25f7325e1d0727fb73060c3c4b,0.0,1
5,314401797ce7625dfee534ca1b23df0a,2381cb3f69694492906182d80e4c077a,2.41,1
3,de1f644b6b56204bc38a1a470ce97698,31df3bb435e9d652a2b71fd9e723910d,42.92,1
4,8f8e74e55cbf384b472d672ea2dcefbd,150d1f0097c56f46ecef864b70d85963,22.35,1
3,90d070b4c13a06d5b87132f796d05317,0491be77d9273570fda36339d632f66c,22.29,1
6,f357bf5b9edd6b3a1b9ea1cb16633a51,8d5228d0114afde15194f25e830cee81,12.28,1
7,c41b06d3d5e011749da58beef4ed0a49,976185016a3573aac5d7360f68a7dae8,2.24,1
6,e138c58337a4b8fad083a8bbd77bfd63,eb8f129020859f994e3c5a76f26f56cf,0.22,1
2,2f483bf2d52b85f0947c29efde63a50c,796f1bd39e4232fb6f4413a16ce11015,3.365,2
2,1f7da964e2d6f307eb26761538a71695,c8ea1ab781772a522c2317615733c952,4.36,1
2,35517cf043fd91fe0c5d754e8695525b,5f3d7d167fb743a47942030936546f43,0.0,1
4,15b90f4de3ca7882c6dacb6e2952abbc,171fd354568015c9c1aa69b655fd9f56,0.0,1
7,5f3e10157eb3254a1609843ba3cffff0,d7b7e6ab4ae37fa990d228e1bbf8944b,0.12,1
5,49f27beb83422a85f84f84c43333d430,d8640d6b4431c3475c70104afcc549d2,1.9,1
4,c1c869dfc5fe2dc94527ed2fe79b400f,432e872975447db1aef0ef36b3d24c0e,2.3,1
2,45c14569e88d93b1b0c9532169652dc2,a17dfd36ba3afc4a13c06e998b2ee299,1.12,1
2,99d29e5b7b9680bcb6031ed015ec2a2d,15a2560245b09fe3c25bcf0e0d110722,8.65,2
5,367cc8e2475c353832a1886628d51885,0a68d1547218a801d238005e3239fbca,7.71,1
6,8e25e68d73f8a8b830e279e262c4c45c,ef4064be4efb3a5a50fee29e0a957f98,8.32,1
6,4a43032b74362cd9c4a278345e4d711c,121a12eca8756977d46ee383c727c4c0,10.45,2
6,08a40c2d65bf7de7a254d8a2f937757c,66a508c2eed0433591b8b8c73dc9a457,14.31,1
4,8af226f1a6b2e7b01fbe39881ee7714c,8f10b5ddb44474ba668cdc1e3b9b4d76,0.0,1
6,b8ca7a1f31246fa26ce9b603cbde9a3e,769448a22d256d1df89b6e7a98099130,2.0,1
5,57b7dddb77d64a19032feb56ab11182d,8c58cd51882c20ee743bf4b37cbfb4df,7.85,1
2,25d2a0eb684f4b7f1af9a9e0f7bea0fc,74514bfec0c8c25a132af853a80d6312,3.91,1
3,0444628fdf9e3730669705bc96f4f05e,d604c738e195627bc3c92db0f851ef31,7.48,1
7,a77aa87fd25c53ca69326d47b8da76ae,ac6f071d6b516f5e7043ce87650657dc,2.73,1
4,888f381a826ca27d3be53b40cbd630a5,8f61cb84a034d588c923ef1989c2bb7c,1.78,1
6,3cc90fcea03caad60a021d0dfe974056,93ba3fdd4d86e5c7348adf27b6169194,23.52,1
5,d6b665958e1fad3b6cca20b5d5e3605e,7c571d696030e00cd0625b116e941ea5,3.92,1
2,907ea946fa83537a4721ddd3472f8122,e024eb96dd49c0988afc29c9806441be,4.46,2
5,35b769e7d03aa576bb53722806e0bd1a,423c37358b9b39c44771f08190bcb282,39.87,1
4,835e2361984f666e83dd9ec087902ea3,4e93d362583bad63cac00e583378192b,2.55,1
5,75d36518939951b53a76c5329578fd39,1699fd42058c8a19d38f55efa4023647,2.5,1
2,539f2c6a0b9ac56098e6bc0eed9ff4cc,06ad278ca7d1a89d14e1d4e375a18147,15.29,1
5,203a9c114c07193729c7f72264a5dca7,6df4dbe41b7b686f904d0bc04a3bc9e3,0.91,1
7,f706ca8b7d0d4c64083a035ee2a745ab,365f7146e1b51c62c93dcc997d334593,18.68,1
4,fc0997c4cb05df421bf3d45c827cba47,1aad243b05fb940ce2d7652ef1d05687,11.023333,3
7,47afce98259d569ee944f258c496c78e,c8eb28f183b2f53ab81b7d787cc95acd,1.2,1
3,aef7d3d635e2359d327241be7acb4c11,bd4673245ac1467e0d3e0b8727db31f8,1.75,1
6,8e9080b55f2ac227be0bb87ca9b828b5,83d8695281856610d50fa2d097439bac,42.48,2
3,61a0f2b0a982c2479aaf827e6fa8e8fd,03fd5dfd2a63cc48330349a194f3d3a3,3.14,1
3,699e2242e8aa9847f1a15e1f531c5e5b,8d808a28892802b6eae0c2554800180f,4.77,1
6,f765929d4c3dba59eeeca4c0bfce1bca,b214634756fd0e544512d6c61f087aa6,34.365,2
